age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,income-class
34,12, Black, Female,0,0,45,0
60,13, White, Female,0,0,42,0
21,9, White, Male,0,0,40,0
57,14, White, Male,15024,0,40,1
41,15, White, Male,0,0,60,1
50,10, White, Male,0,0,45,0
25,13, White, Female,0,0,40,0
50,4, White, Male,0,0,40,0
36,13, White, Male,0,0,45,0
31,9, White, Female,0,0,40,0
29,13, White, Male,0,0,56,0
21,10, White, Male,0,0,45,0
27,13, Black, Female,0,0,40,0
65,9, White, Male,0,0,16,0
37,13, White, Female,0,0,60,0
24,9, White, Male,0,0,40,0
38,9, White, Male,0,0,80,0
48,13, White, Male,7688,0,40,1
21,10, Asian-Pac-Islander, Female,0,0,25,0
31,9, White, Male,0,0,45,1
55,9, White, Male,4386,0,40,1
24,10, Asian-Pac-Islander, Female,0,0,40,0
43,9, White, Female,0,0,40,0
26,12, White, Male,0,0,45,0
46,12, White, Female,0,0,33,0
35,12, White, Male,0,0,40,1
41,10, White, Male,0,0,54,1
26,13, White, Male,0,0,40,0
34,14, Asian-Pac-Islander, Male,7298,0,35,1
36,13, Black, Female,0,0,40,1
22,10, White, Male,0,0,15,0
24,10, White, Male,0,0,40,0
77,10, White, Male,0,0,40,0
22,3, White, Female,0,0,40,0
29,10, White, Female,0,0,40,0
62,9, White, Female,0,0,24,0
39,9, White, Male,0,0,40,0
43,10, White, Male,0,1485,50,0
35,9, White, Male,0,0,45,0
29,7, White, Female,0,0,40,0
76,14, White, Male,0,0,10,0
63,9, White, Male,0,0,45,0
43,10, White, Female,0,1887,50,1
58,9, White, Male,0,0,40,0
66,9, White, Male,2050,0,55,0
41,10, Black, Male,0,0,45,0
26,13, White, Male,0,0,40,0
47,11, White, Male,0,0,40,0
55,6, White, Male,0,0,40,0
53,9, White, Male,0,0,40,0
17,3, White, Male,0,0,48,0
30,9, White, Male,0,0,40,0
49,14, White, Male,0,0,60,0
19,9, Black, Male,0,0,30,0
45,9, Black, Male,0,0,40,0
26,12, White, Male,0,0,40,0
38,11, White, Male,7298,0,40,1
36,9, White, Male,7298,0,40,1
33,9, White, Male,0,0,20,0
22,10, Black, Female,0,0,40,0
43,13, White, Male,0,0,42,0
56,12, White, Male,0,0,25,0
31,13, White, Male,0,0,25,0
33,13, White, Male,0,0,40,1
26,9, White, Male,0,0,40,0
33,13, White, Male,0,0,40,1
46,7, White, Male,0,0,30,0
38,9, White, Male,0,0,40,1
65,7, Other, Male,0,0,40,0
40,11, White, Male,0,0,40,1
42,9, White, Female,0,0,35,0
26,5, White, Male,0,0,40,0
36,6, White, Female,0,0,24,0
62,14, White, Male,0,0,40,1
43,13, White, Male,0,0,45,0
43,13, White, Male,0,1564,45,1
22,9, White, Male,0,0,55,0
28,9, White, Male,0,0,40,0
56,10, White, Male,0,0,45,0
22,12, White, Female,0,0,15,0
57,13, White, Female,0,0,45,1
39,9, White, Female,0,0,40,0
26,10, White, Female,0,0,15,0
17,7, White, Male,0,0,10,0
40,11, White, Male,0,0,38,1
45,9, Black, Male,0,0,40,0
44,9, Black, Male,0,0,40,0
20,10, White, Female,0,0,10,0
33,9, White, Female,0,0,40,0
23,10, White, Male,0,0,40,0
46,14, White, Male,0,0,30,0
38,9, White, Male,0,0,50,0
54,9, White, Male,0,0,40,0
46,3, White, Female,0,2339,45,0
25,10, White, Male,0,0,40,0
46,10, White, Female,0,0,40,0
36,10, White, Female,0,0,40,0
23,9, White, Female,0,0,25,0
29,9, White, Male,0,0,40,0
44,10, White, Female,0,2415,6,1
19,10, White, Female,0,0,16,0
19,9, White, Female,0,0,40,0
35,9, White, Female,0,0,40,1
27,13, White, Male,0,0,50,0
46,12, White, Male,0,0,40,0
34,9, White, Female,0,0,35,0
44,10, White, Male,0,0,40,0
45,10, White, Female,0,0,40,0
25,13, White, Male,0,0,55,1
52,13, White, Male,0,0,50,1
20,10, White, Male,0,0,40,0
28,10, White, Female,0,0,40,0
50,13, White, Male,0,0,40,1
34,11, White, Female,0,0,64,0
28,4, Other, Male,0,2179,40,0
41,14, White, Male,0,1977,65,1
28,9, White, Male,0,0,40,0
46,9, White, Male,0,0,25,0
32,10, White, Male,0,0,50,0
41,10, Black, Female,0,0,24,0
24,9, Black, Female,0,0,40,0
33,10, White, Female,0,0,40,0
46,16, White, Male,15024,0,60,1
31,10, White, Male,0,0,40,0
35,8, White, Male,0,0,50,1
52,2, White, Male,0,0,40,0
30,7, White, Female,0,0,19,0
34,7, Black, Male,0,0,40,0
34,9, White, Female,0,0,40,0
20,10, White, Male,0,0,30,0
17,7, White, Male,2176,0,18,0
32,13, White, Female,0,0,40,1
29,9, White, Male,0,0,40,0
33,6, White, Female,0,0,35,0
25,9, White, Male,0,0,60,0
36,14, White, Male,0,1408,40,0
23,9, White, Male,0,0,72,0
63,9, White, Male,0,0,40,1
47,14, White, Male,0,0,40,0
40,13, White, Female,2174,0,40,0
30,12, White, Female,0,0,25,1
27,10, Asian-Pac-Islander, Male,0,1980,40,0
33,14, White, Male,0,0,50,1
34,9, Black, Male,594,0,60,0
34,10, White, Female,0,0,40,0
23,10, White, Male,0,0,40,0
42,10, White, Female,0,0,40,0
29,13, White, Male,0,0,40,0
45,9, White, Female,0,0,28,0
24,9, White, Male,0,0,40,0
44,10, White, Male,0,0,40,1
27,5, White, Male,0,0,40,0
20,10, White, Male,0,0,35,0
44,9, Black, Female,0,0,40,0
51,9, Amer-Indian-Eskimo, Male,0,0,40,0
20,9, White, Male,0,0,40,0
19,9, Black, Female,0,0,40,0
45,10, White, Male,0,0,55,1
60,9, White, Male,0,0,40,1
44,9, White, Female,0,0,40,1
40,11, Asian-Pac-Islander, Male,0,0,40,1
30,9, White, Female,0,0,40,0
38,10, Black, Male,0,0,50,0
23,9, White, Male,0,0,60,0
44,12, White, Male,0,0,40,0
54,9, Black, Male,0,0,40,0
32,13, White, Male,0,0,50,0
50,2, White, Male,0,0,40,0
24,13, White, Female,0,0,20,0
37,9, White, Female,0,0,60,0
52,9, White, Male,0,0,40,0
38,10, White, Male,0,0,40,0
49,14, White, Male,0,1977,45,1
30,13, White, Female,0,0,16,1
60,10, White, Male,0,0,40,1
35,9, White, Male,0,0,40,0
30,9, White, Male,0,0,60,0
67,11, White, Female,0,0,24,0
46,13, White, Female,0,0,40,0
17,5, White, Male,0,0,6,0
22,10, White, Male,0,0,30,0
27,6, White, Male,0,0,40,0
23,9, White, Female,0,0,35,0
33,12, White, Male,0,0,45,0
43,10, White, Male,0,0,20,0
28,13, White, Male,0,0,20,0
41,9, White, Female,0,0,40,0
25,10, Black, Female,0,0,20,0
59,9, White, Male,0,0,45,0
45,13, White, Female,0,0,40,0
38,13, White, Male,15024,0,60,1
40,9, White, Female,0,0,35,0
46,9, White, Male,0,0,40,0
35,12, White, Female,0,0,60,0
34,9, White, Female,0,0,25,0
33,13, White, Male,0,0,20,0
41,9, White, Female,0,0,36,0
20,10, White, Male,0,0,40,0
23,3, White, Male,0,0,40,0
26,10, White, Female,0,0,35,0
23,9, White, Male,0,0,40,0
62,9, White, Male,0,0,40,0
52,10, White, Male,0,0,40,0
58,10, White, Female,0,0,42,0
25,13, White, Female,0,0,40,0
24,13, Black, Male,0,0,40,0
19,10, White, Male,0,0,8,0
43,10, White, Male,0,0,40,0
47,9, Black, Female,0,0,40,0
39,9, White, Female,0,0,40,0
49,11, White, Male,0,1380,42,0
32,11, White, Male,0,0,45,0
34,10, White, Male,0,0,50,1
28,9, White, Male,0,0,45,0
25,10, Amer-Indian-Eskimo, Female,0,0,20,0
34,13, White, Male,0,0,50,1
38,13, White, Male,15024,0,80,1
50,9, White, Male,7688,0,50,1
24,10, Black, Male,0,0,50,0
37,10, White, Male,0,0,45,1
44,10, White, Male,0,0,58,1
28,10, White, Female,0,0,40,0
42,13, White, Male,0,0,40,1
74,10, White, Female,0,0,9,0
38,9, White, Male,0,0,50,0
44,14, White, Male,0,0,40,0
44,7, Other, Female,0,0,46,0
26,9, White, Male,0,0,40,0
36,9, Black, Male,0,0,40,0
41,12, White, Female,0,0,50,1
67,15, White, Male,20051,0,48,1
39,8, White, Male,0,0,50,0
57,2, Black, Female,0,0,30,0
29,11, White, Male,0,0,40,0
31,13, White, Female,0,0,45,0
44,10, White, Male,0,0,40,0
29,16, White, Male,0,0,40,0
30,10, White, Female,0,0,40,0
27,9, White, Male,0,0,40,0
27,10, White, Male,0,0,50,0
32,9, White, Female,0,0,45,0
58,6, White, Female,0,0,8,0
35,10, White, Male,0,0,40,0
21,9, White, Male,0,0,36,0
28,10, White, Male,0,0,40,0
46,10, White, Male,0,0,50,0
36,9, White, Female,0,0,40,0
72,7, White, Female,0,0,40,0
35,9, Black, Female,0,0,40,0
33,11, Black, Female,0,0,40,1
69,7, White, Female,0,0,40,0
35,9, White, Male,0,0,40,0
34,9, White, Female,0,0,32,0
30,7, White, Male,0,0,40,0
28,13, White, Male,0,0,55,0
54,13, White, Male,0,0,35,1
47,10, White, Male,0,0,50,1
24,9, Black, Female,0,0,40,0
52,13, White, Male,0,0,60,1
20,9, Amer-Indian-Eskimo, Male,0,0,48,0
43,14, White, Male,5013,0,45,0
45,4, White, Female,0,0,40,0
29,9, White, Male,0,0,35,0
47,14, White, Male,0,0,42,0
24,9, White, Male,0,0,40,0
51,9, White, Male,0,0,40,0
17,7, White, Male,0,0,12,0
37,11, White, Male,0,1977,40,1
27,16, White, Female,0,0,70,0
29,13, White, Male,0,0,40,1
36,12, White, Female,0,0,35,0
58,13, White, Female,0,0,40,0
26,10, White, Male,0,0,45,0
57,9, White, Male,0,0,40,1
59,9, White, Male,0,0,40,0
27,9, White, Male,0,0,40,0
31,13, White, Male,0,0,40,0
21,10, White, Female,0,0,24,0
29,10, White, Male,0,0,60,0
18,7, White, Male,0,0,40,0
52,6, White, Male,0,1887,47,1
57,13, White, Male,0,0,80,0
60,4, White, Male,0,0,48,1
31,13, White, Male,7688,0,40,1
23,13, White, Female,0,0,40,0
27,9, White, Male,0,0,40,0
42,15, White, Male,0,1902,50,1
25,10, White, Male,2174,0,40,0
49,13, White, Female,0,0,45,0
32,13, White, Male,0,0,40,0
19,10, White, Male,0,0,28,0
60,4, White, Female,0,0,40,0
42,5, White, Male,0,0,40,0
35,12, White, Male,0,0,40,0
48,9, Black, Female,0,0,37,0
51,14, White, Male,0,0,40,1
29,9, Amer-Indian-Eskimo, Male,0,0,40,0
36,9, Black, Male,0,0,40,0
17,6, White, Female,0,0,21,0
52,14, White, Female,6849,0,60,0
24,9, White, Male,0,0,40,0
24,9, White, Male,0,0,50,0
26,13, White, Male,1055,0,40,0
27,13, White, Female,0,0,20,0
39,9, White, Male,0,0,60,0
30,9, Black, Male,0,0,45,0
50,9, White, Male,0,0,32,0
52,13, White, Male,0,0,55,0
46,15, White, Male,15024,0,45,1
23,13, White, Female,0,0,20,0
45,7, Black, Female,0,0,20,0
65,5, Black, Female,0,0,24,0
29,11, White, Male,0,0,55,0
47,5, White, Male,0,0,40,0
30,9, Black, Male,0,0,60,0
34,9, White, Male,0,0,45,1
38,9, White, Male,0,0,64,0
33,10, White, Male,0,0,40,1
49,13, White, Male,0,0,26,1
47,10, Black, Female,0,0,40,0
49,6, Black, Female,0,0,40,0
43,10, White, Male,15024,0,60,1
30,13, Black, Female,0,0,40,1
58,9, White, Male,0,0,60,0
19,9, White, Female,0,0,14,0
21,13, White, Male,0,0,40,0
33,13, White, Male,15024,0,60,1
47,3, White, Male,0,0,50,0
52,16, White, Male,0,0,60,1
26,9, White, Male,0,0,55,0
60,9, White, Male,0,0,40,0
21,10, White, Male,0,0,40,0
36,10, White, Male,5178,0,50,1
31,10, White, Male,0,0,45,0
50,16, White, Male,0,0,40,1
31,9, White, Female,0,0,40,0
71,9, White, Male,0,0,15,0
30,13, White, Male,0,0,40,1
20,10, White, Male,0,0,20,0
24,9, White, Male,4101,0,50,0
35,16, Asian-Pac-Islander, Male,0,0,40,1
38,10, White, Female,0,0,45,0
27,9, White, Female,0,0,32,0
29,10, Asian-Pac-Islander, Female,0,0,40,0
34,9, White, Male,0,0,45,0
44,4, White, Male,0,0,35,0
43,9, White, Male,0,0,40,1
44,8, Black, Male,0,0,40,1
35,14, White, Male,0,0,60,0
27,10, White, Male,0,0,40,0
43,14, White, Male,0,0,38,0
20,10, White, Female,0,0,25,0
42,12, White, Female,8614,0,40,1
27,10, White, Male,3411,0,40,0
42,9, Black, Male,0,0,40,1
24,5, White, Male,0,1721,40,0
48,10, White, Male,0,0,40,0
17,7, White, Male,0,0,10,0
33,13, White, Male,0,0,40,1
50,9, White, Male,0,0,50,1
22,9, White, Female,2597,0,40,0
17,8, White, Male,0,0,16,0
32,10, White, Male,0,0,40,0
31,9, White, Male,0,0,45,0
58,9, White, Male,0,0,50,0
29,9, White, Male,0,0,48,0
37,11, White, Male,0,0,40,1
34,9, White, Male,0,0,40,1
23,10, Black, Male,0,0,40,0
18,7, White, Female,0,0,5,0
34,9, White, Female,0,0,40,0
45,13, White, Female,0,0,55,0
41,14, White, Male,0,0,35,0
26,9, White, Male,0,0,30,0
54,10, White, Male,0,0,40,0
24,10, Black, Female,0,0,45,0
42,10, White, Male,0,0,50,0
20,10, White, Male,0,0,20,0
23,13, White, Female,0,0,20,0
35,14, White, Male,0,0,60,1
31,14, White, Male,0,1902,40,1
30,13, White, Female,0,0,40,0
19,9, White, Female,0,0,20,0
36,13, White, Male,0,0,50,0
31,13, White, Female,0,1380,40,0
21,10, White, Male,0,0,30,0
31,10, White, Male,0,0,40,0
46,16, White, Female,25236,0,65,1
44,13, White, Female,0,0,50,1
40,8, Black, Male,0,0,40,0
45,10, Black, Male,0,0,40,0
60,9, White, Male,0,0,35,0
18,7, White, Male,0,0,25,0
28,13, White, Male,0,0,40,0
36,10, Black, Female,0,0,40,0
40,11, White, Male,4386,0,40,0
36,13, White, Female,0,0,35,0
31,9, Black, Female,0,0,40,0
33,9, White, Male,0,0,40,0
19,9, White, Female,0,0,40,0
22,10, White, Female,0,0,15,0
34,13, White, Male,0,0,45,1
33,9, White, Male,0,0,40,0
41,9, White, Male,0,2051,60,0
29,13, White, Male,4650,0,40,0
50,9, White, Male,0,0,42,1
42,13, White, Male,7298,0,45,1
44,9, White, Female,0,0,40,0
20,10, White, Female,0,0,20,0
31,9, White, Male,0,0,40,0
23,10, White, Female,0,0,24,0
55,10, Asian-Pac-Islander, Female,0,0,40,0
26,11, White, Male,0,2377,45,0
25,11, White, Female,0,0,15,0
35,10, White, Male,2407,0,40,0
36,10, Black, Female,0,0,36,0
43,13, White, Male,0,0,50,0
56,9, Black, Female,594,0,20,0
42,13, White, Male,0,0,40,1
19,10, White, Female,0,0,25,0
55,9, White, Male,0,0,72,0
42,14, White, Female,14084,0,50,1
26,11, White, Male,0,0,40,0
17,8, White, Male,0,0,20,0
42,13, White, Female,0,0,40,1
55,9, White, Male,7688,0,40,1
32,10, Black, Female,0,0,40,0
29,7, Black, Male,0,0,40,0
46,13, White, Male,0,0,37,0
29,13, White, Male,7688,0,40,1
22,13, White, Male,0,0,20,0
58,6, White, Male,0,0,40,0
23,9, White, Male,0,0,50,0
39,9, White, Male,0,0,40,0
27,11, White, Male,0,0,38,0
54,9, White, Male,0,0,40,1
33,13, White, Female,0,0,45,0
46,9, White, Female,0,0,40,1
37,9, Black, Male,0,0,40,0
36,9, White, Female,0,0,18,0
59,9, White, Female,0,0,38,1
34,9, White, Male,0,0,40,0
53,16, White, Male,0,0,70,1
51,13, White, Male,0,0,55,1
32,6, White, Female,0,0,42,0
31,10, White, Male,0,0,40,0
22,10, White, Female,0,0,30,0
47,13, White, Female,0,0,50,0
32,9, White, Male,0,0,40,0
26,10, White, Female,0,0,38,0
37,3, White, Male,0,0,32,0
31,9, White, Male,0,0,55,0
37,11, White, Female,0,0,24,1
55,9, White, Male,0,0,38,0
23,11, White, Male,0,0,56,0
36,10, White, Female,0,0,40,0
43,13, White, Male,0,0,50,1
54,10, White, Male,0,0,40,0
28,11, White, Female,0,1669,42,0
40,11, White, Male,0,0,50,1
41,10, White, Male,0,0,60,0
40,13, Other, Female,0,0,55,1
42,10, Black, Female,0,0,38,0
61,9, White, Male,0,2352,50,0
18,8, White, Male,0,0,30,0
48,11, White, Male,0,0,50,1
41,13, White, Male,0,0,40,0
23,9, White, Female,2463,0,40,0
60,9, White, Male,0,0,60,1
22,10, Black, Male,0,0,20,0
61,9, White, Male,0,0,40,0
25,9, Black, Male,0,0,40,0
46,14, White, Male,0,0,35,1
43,13, White, Male,0,1902,40,1
43,12, White, Male,0,0,40,0
24,9, Black, Male,0,1721,30,0
68,7, White, Male,0,0,20,0
31,9, White, Female,0,0,38,0
17,7, White, Female,0,0,20,0
32,9, White, Male,5178,0,48,1
33,13, White, Male,3103,0,47,1
64,13, White, Male,0,0,40,1
20,9, White, Male,0,0,30,0
30,9, White, Female,0,0,36,0
43,10, White, Male,0,0,45,0
22,10, White, Male,0,0,40,0
17,6, White, Male,0,0,20,0
47,9, White, Female,0,0,75,0
41,11, White, Female,0,0,60,0
56,10, White, Male,0,0,50,1
64,9, White, Male,0,0,45,0
47,9, White, Male,0,0,50,1
48,11, White, Male,0,0,40,0
31,14, White, Female,0,0,46,0
29,11, White, Male,0,0,40,0
30,9, White, Female,0,0,40,0
32,9, White, Male,0,1672,60,0
57,9, White, Male,0,653,42,1
62,9, White, Female,0,0,40,0
39,9, White, Female,0,0,24,0
43,10, White, Male,0,0,25,0
24,13, White, Male,0,0,40,0
53,10, White, Female,4386,0,40,1
26,10, White, Male,0,0,40,0
73,9, White, Male,0,0,40,0
55,9, White, Male,0,0,40,0
25,9, White, Male,0,0,40,0
41,13, White, Female,0,0,50,1
24,13, White, Male,0,0,50,0
63,9, White, Male,0,0,6,0
17,7, White, Male,0,0,20,0
35,10, White, Male,0,0,50,0
51,10, White, Male,0,0,40,1
62,13, White, Female,0,0,48,0
55,9, White, Male,4386,0,40,1
43,10, White, Male,0,0,40,0
40,9, White, Female,0,0,50,0
37,13, White, Male,0,0,45,1
39,13, White, Male,0,0,40,0
31,9, White, Male,0,0,18,0
61,14, White, Female,0,0,40,1
26,11, White, Female,0,0,55,0
46,9, White, Male,0,0,50,0
26,13, White, Female,0,0,40,0
48,16, White, Male,0,0,50,1
34,9, White, Male,0,0,40,0
34,9, White, Female,0,0,40,0
59,9, White, Male,0,0,40,1
34,13, White, Female,0,0,40,0
49,13, White, Female,0,0,56,1
18,7, White, Female,0,0,20,0
43,9, White, Male,0,0,40,0
